,,,,,,Total Rank,Upper,,,Lower,,,UP+LO,,Static,,,Couple,,,LRO-T OA,,,LRO-B OA,,,RRO1 OA,,,RRO2 OA,,,RRO3 OA,,,LRO-T 1st,,,LRO-B 1st,,,RRO1 1st,,,RRO2 1st,,,RRO3 1st,,,LRO-T 2nd,,,LRO-B 2nd,,,RRO1 2nd,,,RRO2 2nd,,,RRO3 2nd,,,LRO-T Nth,,,LRO-B Nth,,,RRO1 Nth,,,RRO2 Nth,,,RRO3 Nth,,,LRO-T Bulge,,,LRO-B Bulge,,,LRO-T Dent,,,LRO-B Dent,,,Circuly,,OuterDiameter1,,OuterDiameter2,,OuterDiameter3,,RO TOTAL,Meas.Pressure,Weight,,Width,
362363,2023/10/25,02:55:10,101,175/65R14           ,49403784,A,26.804,120.8,A,5.656,25.4,A,32.461,A,26.865,108.7,A,27.914,132.4,A,0.55,211.6,A,0.459,343.4,A,0,0,A,0.944,340,A,0,0,A,0.35,157.1,A,0.147,262.9,A,0,0,A,0.55,15.6,A,0,0,A,0.195,105.6,A,0.127,317.7,A,0,0,A,0.089,156.4,A,0,0,A,0.007,105.6,A,0.046,317.7,A,0,0,A,0.06,156.4,A,0,0,A,0.438,133.7,A,0.333,354.8,A,0.393,0.8,A,0.361,108.2,A,0.342,A,0,A,596.531,A,0,A,A,0,0,OK,0,A
362364,2023/10/25,02:55:37,101,175/65R14           ,49403786,A,14.46,303.7,A,25.75,312.1,A,40.209,A,40.11,309,A,11.637,142.5,A,0.71,187.5,A,0.633,325.6,A,0,0,A,0.842,74.5,A,0,0,A,0.427,162.2,A,0.298,282,A,0,0,A,0.406,49.8,A,0,0,A,0.085,139.2,A,0.147,337.1,A,0,0,A,0.277,244.6,A,0,0,A,0.027,139.2,A,0.028,337.1,A,0,0,A,0.038,243.3,A,0,0,A,0.463,356.1,A,0.43,355.9,A,0.482,7.9,A,0.461,348.8,A,0.42,A,0,A,596.539,A,0,A,A,0,0,OK,0,A
362365,2023/10/25,02:56:28,101,175/65R14           ,49406141,A,35.577,279,A,33.746,240.4,A,69.323,A,65.444,260.2,A,22.939,345.4,A,0.585,107.8,A,0.529,356,A,0,0,A,0.632,231.5,A,0,0,A,0.232,96.8,A,0.196,329.9,A,0,0,A,0.168,221,A,0,0,A,0.18,269.9,A,0.183,310.3,A,0,0,A,0.135,21.4,A,0,0,A,0.023,269.9,A,0.071,310.3,A,0,0,A,0.043,22.2,A,0,0,A,0.247,85.6,A,0.353,355.4,A,0.392,263.1,A,0.276,263.2,A,0.314,A,0,A,596.838,A,0,A,A,0,0,OK,0,A
362366,2023/10/25,02:56:56,101,175/65R14           ,49406091,A,23.742,331.6,A,17.372,243.8,A,41.114,A,29.936,296.2,A,28.892,8.6,A,0.516,309.7,A,0.364,203.6,A,0,0,A,0.336,227.2,A,0,0,A,0.301,335.1,A,0.129,213,A,0,0,A,0.169,133.7,A,0,0,A,0.035,64.8,A,0.022,285.3,A,0,0,A,0.066,84.1,A,0,0,A,0.035,64.8,A,0.062,285.3,A,0,0,A,0.029,84.5,A,0,0,A,0.472,355.3,A,0.656,354.6,A,0.404,350.3,A,0.446,4,A,0.166,A,0,A,596.881,A,0,A,A,0,0,OK,0,A
362367,2023/10/25,02:57:26,101,175/65R14           ,49406239,A,26.992,274.7,A,24.475,219.8,A,51.467,A,45.682,248.7,A,23.84,331.9,A,0.506,316.3,A,0.394,262.4,A,0,0,A,0.351,114,A,0,0,A,0.322,311,A,0.133,108.3,A,0,0,A,0.18,91.1,A,0,0,A,0.061,300.6,A,0.024,201.7,A,0,0,A,0.095,312.2,A,0,0,A,0.024,300.6,A,0.064,201.7,A,0,0,A,0.046,311.1,A,0,0,A,0.36,213.8,A,0.393,259.5,A,0.339,129,A,0.41,278.2,A,0.177,A,0,A,596.918,A,0,A,A,0,0,OK,0,A
362368,2023/10/25,02:58:14,101,175/65R14           ,49406139,E,42.296,281.9,A,39.619,264.2,A,81.915,A,80.948,273.3,E,12.827,351.1,A,0.841,81.7,A,0.657,178.1,A,0,0,A,0.68,206.3,A,0,0,A,0.537,358.2,A,0.426,210,A,0,0,A,0.21,203.6,A,0,0,A,0.27,124.2,A,0.252,307.2,A,0,0,A,0.012,237.3,A,0,0,A,0.025,124.2,A,0.025,307.2,A,0,0,A,0.061,233.1,A,0,0,A,0.291,77.6,A,0.388,72.1,A,0.286,121.9,A,0.355,206.7,A,0.303,A,0,A,596.852,A,0,A,A,0,0,OK,0,A
362369,2023/10/25,02:58:38,101,175/65R14           ,49406240,A,15.648,232.1,A,22.005,214.4,A,37.653,A,37.219,221.7,A,8.536,0.6,A,0.517,271.1,A,0.641,355.1,A,0,0,A,0.412,111.2,A,0,0,A,0.294,268.8,A,0.197,43.7,A,0,0,A,0.144,118.9,A,0,0,A,0.077,224.5,A,0.116,324.7,A,0,0,A,0.099,273.6,A,0,0,A,0.011,224.5,A,0.037,324.7,A,0,0,A,0.009,273.6,A,0,0,A,0.557,355,A,0.592,354.5,A,0.445,349.3,A,0.372,229.1,A,0.179,A,0,A,596.903,A,0,A,A,0,0,OK,0,A
362370,2023/10/25,02:59:08,101,175/65R14           ,49406100,A,19.237,341.1,A,15.728,239.3,A,34.965,A,22.232,297.2,A,27.214,15.5,A,0.595,352.4,A,0.699,349.2,A,0,0,A,0.586,224.4,A,0,0,A,0.347,297.7,A,0.213,246,A,0,0,A,0.185,302.3,A,0,0,A,0.175,125.6,A,0.14,19,A,0,0,A,0.09,53,A,0,0,A,0.037,125.6,A,0.033,19,A,0,0,A,0.005,52.9,A,0,0,A,0.546,352.1,A,0.452,350.1,A,0.341,90.9,A,0.437,0,A,0.274,A,0,A,596.704,A,0,A,A,0,0,OK,0,A
362371,2023/10/25,02:59:37,101,175/65R14           ,49406152,A,17.628,196.7,A,17.031,254.5,A,34.659,A,30.343,225,A,16.761,137.4,A,0.675,356.4,A,0.442,180.7,A,0,0,A,0.664,232.8,A,0,0,A,0.374,327.3,A,0.247,186.2,A,0,0,A,0.111,145.1,A,0,0,A,0.066,288.4,A,0.063,83.3,A,0,0,A,0.079,48.3,A,0,0,A,0.015,288.4,A,0.032,83.3,A,0,0,A,0.027,48.3,A,0,0,A,0.312,357.4,A,0.345,358.4,A,0.271,216.4,A,0.3,351.7,A,0.326,A,0,A,597.499,A,0,A,A,0,0,OK,0,A
362372,2023/10/25,03:00:04,101,175/65R14           ,49403770,A,6.746,68.5,A,8.15,161.7,A,14.896,A,10.282,120.8,A,10.869,20,A,0.291,63.8,A,0.507,135.9,A,0,0,A,0.861,56.5,A,0,0,A,0.08,206.1,A,0.324,206.9,A,0,0,A,0.544,34.3,A,0,0,A,0.096,166.6,A,0.157,259.5,A,0,0,A,0.097,42.2,A,0,0,A,0.062,166.6,A,0.092,259.5,A,0,0,A,0.096,41,A,0,0,A,0.372,334.2,A,0.326,356.6,A,0.336,347.9,A,0.28,70,A,0.386,A,0,A,596.687,A,0,A,A,0,0,OK,0,A
362373,2023/10/25,03:00:32,101,175/65R14           ,49403785,A,34.485,67.8,A,31.98,12.5,A,66.465,A,58.889,41.3,A,30.919,126,A,0.621,213.8,A,0.694,316.7,A,0,0,A,0.965,336.8,A,0,0,A,0.386,167.1,A,0.261,284.7,A,0,0,A,0.415,19.8,A,0,0,A,0.037,334.9,A,0.193,301.4,A,0,0,A,0.043,152.1,A,0,0,A,0.064,334.9,A,0.084,301.4,A,0,0,A,0.095,152.1,A,0,0,A,0.451,358.6,A,0.414,358.2,A,0.336,353.9,A,0.385,103.8,A,0.407,A,0,A,596.491,A,0,A,A,0,0,OK,0,A
362374,2023/10/25,03:01:23,101,175/65R14           ,49406131,A,11.425,73.9,A,2.438,213.5,A,13.863,A,9.698,83.3,A,13.375,67.1,A,0.64,352,A,0.749,352.4,A,0,0,A,0.584,159,A,0,0,A,0.444,37.5,A,0.503,285.2,A,0,0,A,0.416,155.4,A,0,0,A,0.088,110,A,0.149,10.5,A,0,0,A,0.11,187.4,A,0,0,A,0.034,110,A,0.067,10.5,A,0,0,A,0.028,187.4,A,0,0,A,0.326,352.5,A,0.37,352.7,A,0.256,193.8,A,0.278,2.8,A,0.208,A,0,A,596.834,A,0,A,A,0,0,OK,0,A
362375,2023/10/25,03:01:52,101,175/65R14           ,49406147,A,26.407,1.7,A,16.986,181.7,A,43.393,A,9.422,1.9,A,43.393,1.7,A,0.711,99.6,A,0.581,210.9,A,0,0,A,0.311,164.6,A,0,0,A,0.221,33.4,A,0.281,199.4,A,0,0,A,0.163,153.8,A,0,0,A,0.133,212.7,A,0.191,12.9,A,0,0,A,0.062,7.9,A,0,0,A,0.049,212.7,A,0.109,12.9,A,0,0,A,0.044,7.6,A,0,0,A,0.292,358.2,A,0.427,356.8,A,0.521,185.6,A,0.151,24.5,A,0.122,A,0,A,596.923,A,0,A,A,0,0,OK,0,A
362376,2023/10/25,03:02:20,101,175/65R14           ,49406007,A,33.632,345.1,A,15.619,334.4,A,49.252,A,49.068,341.7,A,18.507,354,A,0.694,136,A,1.144,350.2,A,0,0,A,0.218,105.4,A,0,0,A,0.398,182.9,A,0.608,327.5,A,0,0,A,0.054,79.5,A,0,0,A,0.17,230.4,A,0.146,320.8,A,0,0,A,0.115,150.7,A,0,0,A,0.048,230.4,A,0.027,320.8,A,0,0,A,0.017,151,A,0,0,A,0.422,351.2,A,0.573,351.3,A,0.298,308.9,A,0.315,272,A,0.176,A,0,A,596.939,A,0,A,A,0,0,OK,0,A
362377,2023/10/25,03:02:48,101,175/65R14           ,49403762,A,10.531,279.3,A,20.23,77.1,A,30.762,A,11.205,56.3,A,30.245,264.6,A,0.68,205.6,A,0.374,138.3,A,0,0,A,0.745,345.8,A,0,0,A,0.37,238.9,A,0.166,127.1,A,0,0,A,0.479,8.3,A,0,0,A,0.211,138.8,A,0.064,270.4,A,0,0,A,0.135,335.7,A,0,0,A,0.049,138.8,A,0.046,270.4,A,0,0,A,0.071,336.8,A,0,0,A,0.3,201.4,A,0.244,33.5,A,0.388,130.4,A,0.224,73.6,A,0.283,A,0,A,597.001,A,0,A,A,0,0,OK,0,A
362378,2023/10/25,03:03:41,101,175/65R14           ,49403783,A,6.132,303.8,A,16.881,58.7,A,23.013,A,15.341,37.4,A,20.243,254.7,A,0.354,313.8,A,0.657,156.4,A,0,0,A,1.397,10.5,A,0,0,A,0.168,278.4,A,0.272,136.1,A,0,0,A,1.074,20.1,A,0,0,A,0.044,133.2,A,0.144,321.4,A,0,0,A,0.319,9.1,A,0,0,A,0.025,133.2,A,0.016,321.4,A,0,0,A,0.097,8.5,A,0,0,A,0.41,260.8,A,0.289,150.9,A,0.36,328.6,A,0.269,326.3,A,0.463,A,0,A,596.632,A,0,A,A,0,0,OK,0,A
362379,2023/10/25,03:04:06,101,175/65R14           ,49403767,A,5.855,7.9,A,6.567,12.7,A,12.422,A,12.411,10.4,A,0.882,226.6,A,0.575,237.4,A,0.529,217.7,A,0,0,A,0.481,8.5,A,0,0,A,0.255,225.5,A,0.163,185.6,A,0,0,A,0.321,11.3,A,0,0,A,0.134,109.9,A,0.118,131.3,A,0,0,A,0.173,28.5,A,0,0,A,0.044,109.9,A,0.091,131.3,A,0,0,A,0.062,28.5,A,0,0,A,0.682,352.7,A,0.277,61.3,A,0.272,157.1,A,0.407,63.8,A,0.212,A,0,A,596.962,A,0,A,A,0,0,OK,0,A
362380,2023/10/25,03:04:37,101,175/65R14           ,49408896,A,19.086,251.2,A,17.07,194.8,A,36.156,A,31.874,224.7,A,17.185,307,A,0.805,313.5,A,0.611,263.7,A,0,0,A,0.83,168,A,0,0,A,0.629,277,A,0.22,319,A,0,0,A,0.259,208.6,A,0,0,A,0.281,217.6,A,0.076,78.5,A,0,0,A,0.282,307.9,A,0,0,A,0.047,217.6,A,0.041,78.5,A,0,0,A,0.021,307.9,A,0,0,A,0.382,258.9,A,0.281,259.1,A,0.613,261.8,A,0.359,77.5,A,0.403,A,0,A,596.832,A,0,A,A,0,0,OK,0,A
362381,2023/10/25,03:05:29,101,175/65R14           ,49408903,A,31.375,2.9,A,34.845,357.8,A,66.22,A,66.154,0.2,A,4.559,139.9,A,0.776,199.6,A,0.787,357.5,A,0,0,A,1.137,114.6,A,0,0,A,0.372,160.1,A,0.041,297.8,A,0,0,A,0.232,94.7,A,0,0,A,0.129,16.4,A,0.293,332.2,A,0,0,A,0.365,238.1,A,0,0,A,0.01,16.4,A,0.04,332.2,A,0,0,A,0.03,238.7,A,0,0,A,0.486,358.8,A,0.465,358,A,0.398,237.9,A,0.323,168.3,A,0.591,A,0,A,596.797,A,0,A,A,0,0,OK,0,A
362382,2023/10/25,03:06:18,101,175/65R14           ,49408882,E,55.372,183.6,E,44.861,183.7,A,100.233,E,100.232,183.6,E,10.512,183.1,A,0.611,315.4,A,0.465,357.5,A,0,0,A,0.556,224.4,A,0,0,A,0.162,357.3,A,0.163,304.5,A,0,0,A,0.337,125.6,A,0,0,A,0.279,255.1,A,0.127,26.8,A,0,0,A,0.019,271,A,0,0,A,0.028,255.1,A,0.042,26.8,A,0,0,A,0.056,264.5,A,0,0,A,0.452,358.6,A,0.301,357.7,A,0.493,127.9,A,0.296,311.8,A,0.175,A,0,A,597.688,A,0,A,A,0,0,OK,0,A
362383,2023/10/25,03:06:42,101,175/65R14           ,49409780,A,8.621,122.9,A,9.485,271.4,A,18.107,A,4.986,206.8,A,17.428,106.4,A,0.792,139.7,A,0.648,227,A,0,0,A,0.334,251.5,A,0,0,A,0.367,180,A,0.197,180.7,A,0,0,A,0.112,166.8,A,0,0,A,0.206,273.3,A,0.18,50.3,A,0,0,A,0.16,214.8,A,0,0,A,0.101,273.3,A,0.062,50.3,A,0,0,A,0.037,215.2,A,0,0,A,0.428,355.7,A,0.327,355.8,A,0.454,12.6,A,0.273,130.5,A,0.196,A,0,A,596.836,A,0,A,A,0,0,OK,0,A
362384,2023/10/25,03:07:09,101,175/65R14           ,49403755,A,16.25,136.8,A,10.069,125.5,A,26.319,A,26.198,132.5,A,6.678,154.1,A,0.374,239.5,A,0.494,147.7,A,0,0,A,0.495,75.9,A,0,0,A,0.082,268.1,A,0.355,168.6,A,0,0,A,0.287,48.3,A,0,0,A,0.236,133.2,A,0.133,319.8,A,0,0,A,0.02,136.4,A,0,0,A,0.006,133.2,A,0.024,319.8,A,0,0,A,0.054,136.4,A,0,0,A,0.527,354.5,A,0.318,353.8,A,0.355,346.6,A,0.275,348,A,0.167,A,0,A,596.832,A,0,A,A,0,0,OK,0,A
362385,2023/10/25,03:07:38,101,175/65R14           ,49403758,A,15.296,195.9,A,8.872,244.6,A,24.168,A,22.172,213.4,A,11.565,160.6,A,0.634,212.5,A,0.502,98.2,A,0,0,A,0.736,65,A,0,0,A,0.418,208.4,A,0.193,65.7,A,0,0,A,0.446,40.3,A,0,0,A,0.188,50,A,0.12,286.2,A,0,0,A,0.072,135.4,A,0,0,A,0.065,50,A,0.051,286.2,A,0,0,A,0.07,135.4,A,0,0,A,0.426,185.8,A,0.296,340.4,A,0.477,137.5,A,0.286,20.1,A,0.254,A,0,A,597.058,A,0,A,A,0,0,OK,0,A
362386,2023/10/25,03:08:06,101,175/65R14           ,49403764,A,15.541,241.4,A,33.534,112,A,49.074,A,26.537,138.9,A,45.031,276.6,A,0.692,230.5,A,0.634,207.7,A,0,0,A,0.467,339.3,A,0,0,A,0.265,263.9,A,0.214,241.4,A,0,0,A,0.23,352,A,0,0,A,0.309,108.3,A,0.083,199.1,A,0,0,A,0.075,268.6,A,0,0,A,0.029,108.3,A,0.061,199.1,A,0,0,A,0.046,268.6,A,0,0,A,0.298,223.3,A,0.316,61.3,A,0.309,87,A,0.422,55.3,A,0.228,A,0,A,596.879,A,0,A,A,0,0,OK,0,A
362387,2023/10/25,03:08:38,101,175/65R14           ,49403739,A,18.784,46,A,16.821,126.7,A,35.605,A,27.176,83.7,A,23.088,0.1,A,0.324,79.9,A,0.657,150.4,A,0,0,A,0.765,338.1,A,0,0,A,0.034,25,A,0.426,187.5,A,0,0,A,0.543,14.2,A,0,0,A,0.16,108.9,A,0.115,317.2,A,0,0,A,0.224,216.8,A,0,0,A,0.019,108.9,A,0.012,317.2,A,0,0,A,0.092,216.9,A,0,0,A,0.565,0.8,A,0.516,1.8,A,0.354,66.8,A,0.392,355.4,A,0.342,A,0,A,596.665,A,0,A,A,0,0,OK,0,A
362388,2023/10/25,03:09:31,101,175/65R14           ,49403765,A,27.547,343,A,13.578,306.1,A,41.125,A,39.257,331.1,A,18.582,9.1,A,0.429,232.6,A,0.483,254.1,A,0,0,A,1.135,23.3,A,0,0,A,0.149,230.8,A,0.236,202.1,A,0,0,A,0.71,17.1,A,0,0,A,0.191,176.8,A,0.039,147,A,0,0,A,0.032,205.6,A,0,0,A,0.03,176.8,A,0.026,147,A,0,0,A,0.094,205.6,A,0,0,A,0.232,324.6,A,0.231,157,A,0.331,57.8,A,0.291,71.7,A,0.293,A,0,A,596.779,A,0,A,A,0,0,OK,0,A
362389,2023/10/25,03:09:54,101,175/65R14           ,49403791,A,17.116,336,A,19.777,298,A,36.893,A,34.891,315.6,A,12.281,58.8,A,0.616,62.8,A,0.641,170.2,A,0,0,A,1.136,78,A,0,0,A,0.11,33.8,A,0.214,233.3,A,0,0,A,0.823,17.4,A,0,0,A,0.198,130.3,A,0.243,305.3,A,0,0,A,0.206,172.3,A,0,0,A,0.011,130.3,A,0.024,305.3,A,0,0,A,0.022,172.3,A,0,0,A,0.458,331.3,A,0.297,354.6,A,0.278,327.9,A,0.297,219.3,A,0.44,A,0,A,596.592,A,0,A,A,0,0,OK,0,A
362390,2023/10/25,03:12:45,101,175/65R14           ,49403371,A,13.925,358.9,A,22.127,322.3,A,36.052,A,34.323,336.3,A,13.747,105.1,A,0.395,214.8,A,0.382,23.7,A,0,0,A,0.604,60.5,A,0,0,A,0.213,204.5,A,0.126,78,A,0,0,A,0.421,31.4,A,0,0,A,0.106,139,A,0.125,330.5,A,0,0,A,0.168,118.2,A,0,0,A,0.018,139,A,0.021,330.5,A,0,0,A,0.056,118.2,A,0,0,A,0.67,359.3,A,0.584,359.4,A,0.485,353,A,0.387,352.7,A,0.302,A,0,A,596.952,A,0,A,A,0,0,OK,0,A
362391,2023/10/25,03:13:14,101,175/65R14           ,49406061,A,13.918,306.8,A,11.858,303.1,A,25.777,A,25.763,305.1,A,2.226,327.3,A,0.677,315.4,A,0.522,357.6,A,0,0,A,0.393,337,A,0,0,A,0.491,315.2,A,0.224,310.3,A,0,0,A,0.138,2.7,A,0,0,A,0.174,242.7,A,0.137,310.1,A,0,0,A,0.097,261.9,A,0,0,A,0.031,242.7,A,0.048,310.1,A,0,0,A,0.023,260.7,A,0,0,A,0.497,357.6,A,0.433,356.5,A,0.359,4.3,A,0.289,3.3,A,0.16,A,0,A,596.649,A,0,A,A,0,0,OK,0,A
362392,2023/10/25,03:13:44,101,175/65R14           ,47061364,A,11.661,18.8,A,7.234,56.3,A,18.895,A,17.95,33,A,7.376,342.2,A,0.51,287.8,A,0.516,31.3,A,0,0,A,0.421,171.1,A,0,0,A,0.319,287.4,A,0.189,351.3,A,0,0,A,0.136,112,A,0,0,A,0.047,195,A,0.155,40.3,A,0,0,A,0.094,352.5,A,0,0,A,0.023,195,A,0.035,40.3,A,0,0,A,0.035,355.1,A,0,0,A,0.129,292.8,A,0.228,122.5,A,0.278,138.7,A,0.199,115.4,A,0.234,A,0,A,596.444,A,0,A,A,0,0,OK,0,A
362393,2023/10/25,03:14:14,101,175/65R14           ,49406476,A,17.164,71,A,2.606,354.8,A,19.771,A,17.965,62.9,A,16.735,79.7,A,0.469,304.8,A,0.406,208,A,0,0,A,0.542,164.4,A,0,0,A,0.228,313.5,A,0.129,199.4,A,0,0,A,0.339,93,A,0,0,A,0.077,147,A,0.105,46.4,A,0,0,A,0.222,20.6,A,0,0,A,0.028,147,A,0.023,46.4,A,0,0,A,0.027,20,A,0,0,A,0.333,358.4,A,0.563,352,A,0.324,343.8,A,0.802,355.6,A,0.263,A,0,A,596.811,A,0,A,A,0,0,OK,0,A
362394,2023/10/25,03:15:07,101,175/65R14           ,49403361,E,48.748,148.6,A,43.682,110.6,A,92.43,A,87.403,130.7,E,30.49,210.5,A,0.634,253.3,A,0.763,254.7,A,0,0,A,1.07,12,A,0,0,A,0.199,256.4,A,0.343,301.9,A,0,0,A,0.867,6.1,A,0,0,A,0.388,143.5,A,0.268,148.1,A,0,0,A,0.133,67.1,A,0,0,A,0.046,143.5,A,0.004,148.1,A,0,0,A,0.132,64.9,A,0,0,A,0.515,358.1,A,0.239,79.5,A,0.359,5.6,A,0.228,90.2,A,0.364,A,0,A,596.932,A,0,A,A,0,0,OK,0,A
362395,2023/10/25,03:15:31,101,175/65R14           ,49403710,A,6.253,37.4,A,11.587,16.7,A,17.84,A,17.576,23.9,A,6.147,175.7,A,0.397,190.8,A,0.445,224.1,A,0,0,A,0.797,335.5,A,0,0,A,0.167,172.4,A,0.148,196,A,0,0,A,0.761,9.7,A,0,0,A,0.081,78.8,A,0.117,11.7,A,0,0,A,0.193,201.4,A,0,0,A,0.024,78.8,A,0.035,11.7,A,0,0,A,0.06,201.1,A,0,0,A,0.65,356.7,A,0.535,356.9,A,0.434,5.8,A,0.443,4.7,A,0.297,A,0,A,596.194,A,0,A,A,0,0,OK,0,A
362396,2023/10/25,03:16:01,101,175/65R14           ,49386354,A,8.496,75.3,A,17.138,188.4,A,25.634,A,15.855,158.9,A,21.918,29.3,A,0.573,295.3,A,0.924,115,A,0,0,A,0.298,340,A,0,0,A,0.161,294.1,A,0.102,253.1,A,0,0,A,0.04,196.9,A,0,0,A,0.157,179.2,A,0.159,186.3,A,0,0,A,0.119,280.7,A,0,0,A,0.037,179.2,A,0.098,186.3,A,0,0,A,0.046,279.7,A,0,0,A,0.233,40.7,A,0.266,19.2,A,0.359,84.6,A,0.274,14.1,A,0.195,A,0,A,596.886,A,0,A,A,0,0,OK,0,A
362397,2023/10/25,03:16:29,101,175/65R14           ,49406477,A,2.165,55.2,A,14.915,99.2,A,17.08,A,16.541,94,A,13.442,285.6,A,0.601,308.1,A,0.449,190,A,0,0,A,0.406,110.7,A,0,0,A,0.36,306.7,A,0.247,160.2,A,0,0,A,0.215,137,A,0,0,A,0.132,103.6,A,0.156,41.3,A,0,0,A,0.14,246.3,A,0,0,A,0.017,103.6,A,0.004,41.3,A,0,0,A,0.039,245.7,A,0,0,A,0.396,2.2,A,0.382,355.3,A,0.371,226.5,A,0.299,359.4,A,0.217,A,0,A,596.828,A,0,A,A,0,0,OK,0,A
362398,2023/10/25,03:16:57,101,175/65R14           ,49402408,A,2.596,135.9,A,34.596,29.6,A,37.191,A,33.957,33.8,A,35.414,205.5,A,0.768,223.4,A,1.16,38.4,A,0,0,A,0.592,131.6,A,0,0,A,0.576,226.3,A,0.845,37.9,A,0,0,A,0.163,209.9,A,0,0,A,0.088,121.8,A,0.103,21.1,A,0,0,A,0.339,210.4,A,0,0,A,0.012,121.8,A,0.039,21.1,A,0,0,A,0.053,210.4,A,0,0,A,0.355,3.1,A,0.374,0.9,A,0.323,357.7,A,0.326,188.3,A,0.394,A,0,A,596.432,A,0,A,A,0,0,OK,0,A
362399,2023/10/25,03:17:24,101,175/65R14           ,49403684,A,20.307,338.4,A,20.286,297.5,A,40.593,A,38.038,317.9,A,14.174,47.9,A,0.455,64.2,A,0.586,162.2,A,0,0,A,0.811,56.3,A,0,0,A,0.104,51.9,A,0.321,170.7,A,0,0,A,0.635,32.2,A,0,0,A,0.132,131.9,A,0.142,306.5,A,0,0,A,0.184,245.3,A,0,0,A,0.026,131.9,A,0.019,306.5,A,0,0,A,0.016,245.3,A,0,0,A,0.643,354.8,A,0.435,353.1,A,0.379,2.5,A,0.531,357,A,0.252,A,0,A,596.516,A,0,A,A,0,0,OK,0,A
362400,2023/10/25,03:17:56,101,175/65R14           ,49406015,A,19.684,323.4,A,17.395,279.5,A,37.078,A,34.406,302.9,A,14.009,22.7,A,0.445,82.7,A,0.477,339.4,A,0,0,A,0.4,160.1,A,0,0,A,0.146,108,A,0.387,325.4,A,0,0,A,0.177,120.5,A,0,0,A,0.164,113.6,A,0.106,331.8,A,0,0,A,0.101,229,A,0,0,A,0.032,113.6,A,0.026,331.8,A,0,0,A,0.022,229,A,0,0,A,0.348,198.6,A,0.253,98.1,A,0.301,96.4,A,0.341,226.6,A,0.193,A,0,A,596.594,A,0,A,A,0,0,OK,0,A
362401,2023/10/25,03:18:24,101,175/65R14           ,47061357,A,14.275,7.7,A,6.358,8.5,A,20.632,A,20.632,7.9,A,7.918,7.1,A,0.541,92.5,A,0.592,186,A,0,0,A,0.85,102.4,A,0,0,A,0.187,66.3,A,0.266,243.2,A,0,0,A,0.272,97.1,A,0,0,A,0.135,297.9,A,0.21,12.7,A,0,0,A,0.287,198.5,A,0,0,A,0.041,297.9,A,0.014,12.7,A,0,0,A,0.051,198.5,A,0,0,A,0.496,359.2,A,0.67,358.2,A,0.323,41,A,0.468,348.9,A,0.419,A,0,A,596.742,A,0,A,A,0,0,OK,0,A
362402,2023/10/25,03:19:41,101,175/65R14           ,49403934,A,16.402,314.5,A,22.933,16.4,A,39.335,A,33.899,351.1,A,20.995,239.9,A,0.384,266.6,A,0.463,144.8,A,0,0,A,0.544,68.5,A,0,0,A,0.203,264.9,A,0.352,145.2,A,0,0,A,0.289,59.5,A,0,0,A,0.065,78.2,A,0.044,324.1,A,0,0,A,0.195,103.2,A,0,0,A,0.041,78.2,A,0.054,324.1,A,0,0,A,0.098,102.7,A,0,0,A,0.66,347.2,A,0.512,347.3,A,0.384,354.3,A,0.325,355.2,A,0.363,A,0,A,596.652,A,0,A,A,0,0,OK,0,A
362403,2023/10/25,03:20:12,101,175/65R14           ,49403933,A,20.936,68.4,A,19.526,68.6,A,40.462,A,40.462,68.5,A,1.412,65.2,A,0.53,249.6,A,0.609,118.4,A,0,0,A,0.789,77.8,A,0,0,A,0.289,253.5,A,0.443,134.1,A,0,0,A,0.552,57.7,A,0,0,A,0.112,144.8,A,0.078,258.1,A,0,0,A,0.095,44.8,A,0,0,A,0.014,144.8,A,0.023,258.1,A,0,0,A,0.102,44.8,A,0,0,A,0.772,358.2,A,0.312,357.7,A,0.452,350.9,A,0.191,259.2,A,0.296,A,0,A,596.557,A,0,A,A,0,0,OK,0,A
362404,2023/10/25,03:20:40,101,175/65R14           ,49403903,A,21.888,67.8,A,8.185,45,A,30.073,A,29.604,61.6,A,14.688,80.3,A,0.529,90.4,A,0.573,164,A,0,0,A,0.776,73.2,A,0,0,A,0.054,21.9,A,0.313,190.2,A,0,0,A,0.502,20.4,A,0,0,A,0.211,147,A,0.064,332.5,A,0,0,A,0.15,86.9,A,0,0,A,0.044,147,A,0.016,332.5,A,0,0,A,0.075,87.5,A,0,0,A,0.692,358.5,A,0.314,114,A,0.341,134.9,A,0.452,70.5,A,0.28,A,0,A,597.113,A,0,A,A,0,0,OK,0,A
362405,2023/10/25,03:21:08,101,175/65R14           ,49403898,A,19.311,297.4,A,24.626,286.7,A,43.937,A,43.75,291.4,A,6.685,74.4,A,0.345,214.2,A,0.593,141,A,0,0,A,0.764,332.2,A,0,0,A,0.171,230.6,A,0.341,185.6,A,0,0,A,0.498,18.2,A,0,0,A,0.04,97.4,A,0.065,289.5,A,0,0,A,0.087,258.5,A,0,0,A,0.027,97.4,A,0.03,289.5,A,0,0,A,0.069,258.5,A,0,0,A,0.604,334.1,A,0.41,334.6,A,0.392,328.4,A,0.338,328.9,A,0.353,A,0,A,596.73,A,0,A,A,0,0,OK,0,A
